contributor_zip5,Sanders,Warren,winner,advantage,city,state,county,state_fips,county_fips,latitude,longitude
83709,1001.9,248,Sanders,753.9,BOISE,ID,ADA,16,001,43.560522,-116.289073
73401,1001.78,485,Sanders,516.78,ARDMORE,OK,CARTER,40,019,34.254431,-97.194353
53217,1001.6,1565,Warren,563.4,MILWAUKEE,WI,MILWAUKEE,55,079,43.145761,-87.919719
77049,1001,0,Sanders,1001,HOUSTON,TX,HARRIS,48,201,29.841515,-95.146297
91730,1001,453.2,Sanders,547.8,RANCHO CUCAMONGA,CA,SAN BERNARDINO,06,071,34.099404,-117.576336
29579,1000.6,240,Sanders,760.6,MYRTLE BEACH,SC,HORRY,45,051,33.744235,-78.909453
06119,1000.2,575,Sanders,425.20000000000005,WEST HARTFORD,CT,HARTFORD,09,003,41.763783,-72.72709
08009,1000,0,Sanders,1000,BERLIN,NJ,CAMDEN,34,007,39.756708,-74.925604
12574,1000,50,Sanders,950,RHINECLIFF,NY,DUTCHESS,36,027,41.9194,-73.9519
18218,1000,0,Sanders,1000,COALDALE,PA,SCHUYLKILL,42,107,40.819522,-75.914048
21663,1000,160,Sanders,840,SAINT MICHAELS,MD,TALBOT,24,041,38.799852,-76.233299
27295,1000,0,Sanders,1000,LEXINGTON,NC,DAVIDSON,37,057,35.874112,-80.330925
27521,1000,0,Sanders,1000,COATS,NC,HARNETT,37,085,35.419231,-78.661155
28110,1000,250,Sanders,750,MONROE,NC,UNION,37,179,35.070306,-80.529505
29681,1000,0,Sanders,1000,SIMPSONVILLE,SC,GREENVILLE,45,045,34.767581,-82.221576
30295,1000,1000,Warren,0,ZEBULON,GA,PIKE,13,231,33.100238,-84.319065
34145,1000,0,Sanders,1000,MARCO ISLAND,FL,COLLIER,12,021,25.93777,-81.699725
47462,1000,135,Sanders,865,SPRINGVILLE,IN,LAWRENCE,18,093,38.95223,-86.632016
48138,1000,22.5,Sanders,977.5,GROSSE ILE,MI,WAYNE,26,163,42.143811,-83.15646
59922,1000,0,Sanders,1000,LAKESIDE,MT,FLATHEAD,30,029,47.998872,-114.210798
73007,1000,100,Sanders,900,ARCADIA,OK,OKLAHOMA,40,109,35.684734,-97.327112
93908,1000,460,Sanders,540,SALINAS,CA,MONTEREY,06,053,36.641835,-121.586874
94011,1000,0,Sanders,1000,BURLINGAME,CA,SAN MATEO,06,081,37.5844,-122.365
94592,1000,0,Sanders,1000,VALLEJO,CA,SOLANO,06,095,38.10791,-122.325406
33991,999.78,913,Sanders,86.77999999999997,CAPE CORAL,FL,LEE,12,071,26.632738,-82.017936
98236,999.7,500,Sanders,499.70000000000005,CLINTON,WA,ISLAND,53,029,47.956158,-122.417732
54304,999.22,231.33,Sanders,767.89,GREEN BAY,WI,BROWN,55,009,44.489906,-88.069911
32174,998.02,1511,Warren,512.98,ORMOND BEACH,FL,VOLUSIA,12,127,29.299226,-81.186502
75028,998,869.49,Sanders,128.51,FLOWER MOUND,TX,DENTON,48,121,33.029167,-97.068676
20120,997.56,640,Sanders,357.55999999999995,CENTREVILLE,VA,FAIRFAX,51,059,38.85981,-77.466616
04679,997.44,0,Sanders,997.44,SOUTHWEST HARBOR,ME,HANCOCK,23,009,44.225891,-68.29971
52241,996.58,865.03,Sanders,131.55000000000007,CORALVILLE,IA,JOHNSON,19,103,41.692814,-91.587516
90254,996,2232.34,Warren,1236.3400000000001,HERMOSA BEACH,CA,LOS ANGELES,06,037,33.864786,-118.397186
77008,995.5,4738.08,Warren,3742.58,HOUSTON,TX,HARRIS,48,201,29.798349,-95.41909
91381,995.4,288,Sanders,707.4,STEVENSON RANCH,CA,LOS ANGELES,06,037,34.37075,-118.616305
02825,995.1,0,Sanders,995.1,FOSTER,RI,PROVIDENCE,44,007,41.790296,-71.694827
17408,995,200,Sanders,795,YORK,PA,YORK,42,133,39.943596,-76.804015
46222,994.7,0,Sanders,994.7,INDIANAPOLIS,IN,MARION,18,097,39.790357,-86.208848
37216,994.42,919.13,Sanders,75.28999999999996,NASHVILLE,TN,DAVIDSON,47,037,36.216812,-86.72443
98498,994,946.56,Sanders,47.440000000000055,LAKEWOOD,WA,PIERCE,53,053,47.15807,-122.56042
21704,993.4,0,Sanders,993.4,FREDERICK,MD,FREDERICK,24,021,39.344244,-77.376436
34223,993.34,1183.13,Warren,189.79000000000008,ENGLEWOOD,FL,SARASOTA,12,115,26.978678,-82.366384
12457,993.2,0,Sanders,993.2,MOUNT TREMPER,NY,ULSTER,36,111,42.05013,-74.239286
19073,992.7,375,Sanders,617.7,NEWTOWN SQUARE,PA,DELAWARE,42,045,39.984018,-75.436288
23834,991.4,0,Sanders,991.4,COLONIAL HEIGHTS,VA,COLONIAL HEIGHTS CITY,51,570,37.287969,-77.389106
95560,991,0,Sanders,991,REDWAY,CA,HUMBOLDT,06,023,40.127109,-123.876829
98611,990.96,400,Sanders,590.96,CASTLE ROCK,WA,COWLITZ,53,015,46.293574,-122.863521
