county,fips,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Sanders,Trump,Warren,Williamson,Yang
REAGAN,48383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.84,NA,NA,NA
REAL,48385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.7,NA,NA,NA
RED LAKE,27125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA
RED RIVER,48387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA
RED WILLOW,31145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1332.15,NA,NA,NA
REDWOOD,27127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,341.75,240,NA,NA
REEVES,48389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,NA,2867.5,NA,NA,NA
RENO,20155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3757,NA,NA,NA
RENSSELAER,36083,NA,NA,NA,NA,250,2450,202.85,NA,NA,525,NA,842.1899999999999,1697.58,7424.91,2545,300,1
RENVILLE,27129,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,1083.66,NA,NA,NA
RENVILLE,38075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,NA,NA,NA
REYNOLDS,29179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA
RHEA,47143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4127.4,NA,NA,NA
RICE,20159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,NA,NA,NA
RICE,27131,NA,NA,NA,NA,NA,NA,NA,NA,NA,4455,NA,NA,500,4816.52,215,NA,25
RICHARDSON,31147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2194.8,NA,NA,NA
RICHLAND,17159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846.63,NA,NA,NA
RICHLAND,22083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,3191.51,NA,NA,NA
RICHLAND,30083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,1129.31,NA,NA,NA
RICHLAND,38077,NA,NA,NA,NA,NA,NA,241.09,NA,NA,NA,NA,NA,NA,553.3,NA,NA,NA
RICHLAND,39139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.8,302,7706.59,NA,NA,NA
RICHLAND,45079,NA,1000,250,NA,250,769,4375,NA,1450,1500,NA,490.75,2522,27477.89,500.23,550,76
RICHLAND,55103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,36.370000000000005,NA,NA,NA
RICHMOND,13245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13377.99,NA,NA,NA
RICHMOND,36085,10408.96,1000,NA,NA,NA,NA,1049,NA,NA,NA,NA,1000,913.99,60640.07,2650,NA,103
RICHMOND,37153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3328.59,NA,NA,NA
RICHMOND,51159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA
RICHMOND CITY,51760,565.02,350,NA,100,300,NA,1475,NA,560,NA,NA,960.5999999999999,1634,12147.11,NA,NA,1004
RILEY,20161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,6734.639999999999,NA,NA,NA
RIO ARRIBA,35039,NA,NA,NA,NA,NA,NA,NA,NA,NA,881.74,NA,NA,227,1219.9,NA,250,NA
RIO BLANCO,08103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1262,NA,NA,NA
RIO GRANDE,08105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,NA,NA,NA
RIPLEY,18137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082.59,NA,NA,NA
RIPLEY,29181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630.99,NA,NA,NA
RITCHIE,54085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA
RIVERSIDE,06065,270.53,9160,750,NA,12500,500,34362.78,5600,NA,1505,NA,3262.8,11543.28,257407.41,4380.55,8539.53,88
ROANE,47145,NA,1000,NA,NA,NA,NA,875,NA,NA,NA,NA,NA,NA,7241.78,NA,NA,NA
ROANE,54087,NA,NA,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA,NA,303.9,NA,NA,NA
ROANOKE,51161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7230.08,265,NA,NA
ROANOKE CITY,51770,NA,NA,NA,301,NA,NA,NA,NA,NA,NA,NA,210,371,6315.55,NA,NA,NA
ROBERTS,46109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA
ROBERTS,48393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.13,NA,NA,NA
ROBERTSON,47147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11560.35,NA,NA,NA
ROBERTSON,48395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629.65,NA,NA,NA
ROBESON,37155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6478.75,NA,NA,NA
ROCK,27133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.62,NA,NA,NA
ROCK,31149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,NA
ROCK,55105,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,NA,NA,22826.649999999998,285,NA,NA
ROCK ISLAND,17161,NA,NA,NA,NA,NA,NA,250,NA,250,NA,NA,NA,2980,17839.55,NA,NA,NA
ROCKBRIDGE,51163,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,NA,NA,NA,3490.74,NA,NA,NA
ROCKCASTLE,21203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.65,NA,NA,NA
ROCKDALE,13247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2092.56,NA,NA,NA
ROCKINGHAM,33015,NA,4850,NA,1000,2502.26,2800,2475,NA,1510,980,NA,766.79,2402.49,60103.659999999996,4606.99,250,47
ROCKINGHAM,37157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,2136.62,350,NA,NA
ROCKINGHAM,51165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,5369.93,NA,NA,1
ROCKLAND,36087,53800,1000,NA,NA,250,NA,NA,4700,NA,NA,NA,1250,2037.87,29036.66,1350,225,580
ROCKWALL,48397,NA,NA,NA,NA,229.99,NA,450,NA,NA,NA,NA,4087.8,47,17263.38,NA,400,50
ROGER MILLS,40129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA
ROGERS,40131,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,NA,NA,NA,7499.93,NA,NA,NA
ROLETTE,38079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,407,NA,NA,NA
ROOSEVELT,30085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2230,NA,NA,NA
ROOSEVELT,35041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,741.75,NA,NA,NA
ROSCOMMON,26143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2384.32,NA,NA,NA
ROSEAU,27135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1028.9,NA,NA,NA
ROSEBUD,30087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.13,NA,NA,NA
ROSS,39141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.78,NA,NA,NA
ROUTT,08107,NA,250,NA,NA,NA,NA,2800,2800,NA,NA,NA,NA,NA,3526.5,250,NA,NA
ROWAN,21205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA
ROWAN,37159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,13426.89,NA,NA,NA
RUNNELS,48399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1798.5,NA,NA,NA
RUSH,18139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002.62,NA,NA,NA
RUSH,20165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.75,NA,NA,NA
RUSK,48401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.8,NA,2861.5,NA,NA,NA
RUSK,55107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644.9,NA,NA,NA
RUSSELL,01113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2741.34,NA,NA,NA
RUSSELL,20167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,NA,NA,NA
RUSSELL,21207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9,NA,NA,NA
RUSSELL,51167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,2303.7,NA,NA,NA
RUTHERFORD,37161,1000,NA,NA,NA,NA,NA,NA,NA,NA,2800,NA,NA,NA,4325.35,NA,NA,NA
RUTHERFORD,47149,200.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,19580.66,275.91,NA,20
RUTLAND,50021,819.94,NA,NA,NA,NA,NA,750,NA,NA,NA,NA,NA,909,3221.46,NA,NA,170
SABINE,22085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732.5,NA,NA,NA
SABINE,48403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482,NA,NA,NA
SAC,19161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.25,NA,NA,1
SACRAMENTO,06067,5102.5,8300,1250,190,1934.96,1000,73246.45,500,500,980,NA,5547.35,11232.47,150223.43,12592,1925,4271.43
SAGADAHOC,23023,100,NA,NA,NA,NA,600,NA,NA,NA,500,NA,NA,NA,1424.55,NA,NA,NA
SAGINAW,26145,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,6820.7,NA,900,NA
SAGUACHE,08109,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,NA,NA,600,52,NA,NA,NA
SAINT BERNARD,22087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2357.33,NA,NA,NA
SAINT CHARLES,22089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4303.43,NA,NA,NA
SAINT CHARLES,29183,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,215,528.99,42634.39,NA,NA,1
SAINT CLAIR,01115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4312.57,NA,NA,NA
SAINT CLAIR,17163,NA,250,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,2347.73,14046.44,NA,NA,NA
SAINT CLAIR,26147,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,600,50,10051.24,NA,NA,NA
SAINT CLAIR,29185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102,NA,NA,NA
SAINT CROIX,55109,NA,NA,NA,NA,NA,NA,200,NA,NA,250,NA,280.12,600,6519.97,470,NA,NA
SAINT CROIX,78010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,2700,773,250,NA,1
SAINT FRANCIS,05123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,854.9,NA,NA,NA
SAINT FRANCOIS,29187,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,2944.88,NA,NA,NA
SAINT HELENA,22091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA
SAINT JAMES,22093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,976.0799999999999,NA,NA,NA
SAINT JOHN,78020,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA
SAINT JOHNS,12109,NA,-50,NA,NA,NA,400,1300,NA,NA,250,NA,2500,818,107227.58,535,NA,2
SAINT JOSEPH,26149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,2620.42,NA,NA,NA
SAINT LANDRY,22097,NA,NA,NA,NA,NA,NA,409.62,NA,NA,NA,NA,NA,250,4722.13,NA,NA,NA
SAINT LAWRENCE,36089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,3244.6,NA,NA,NA
SAINT LOUIS,27137,750,450,NA,NA,NA,NA,NA,NA,NA,4596,NA,NA,496,13664.65,NA,NA,20
SAINT LOUIS,29189,11610,4450,NA,3000,NA,250,4355.6,NA,500,5516.68,NA,9465,6007.99,103386.6,3743.38,1600,1900
SAINT LOUIS CITY,29510,1000,2600,NA,NA,NA,NA,1014.31,NA,NA,1250,NA,475,1645.7,13209.93,1240,NA,79
SAINT LUCIE,12111,5600,250,NA,NA,NA,NA,NA,NA,NA,NA,2800,NA,894.86,31925.41,NA,NA,NA
SAINT MARTIN,22099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3673.45,NA,NA,NA
SAINT MARY,22101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3576.03,NA,NA,NA
SAINT MARYS,24037,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,2994,7180.46,NA,NA,NA
SAINT TAMMANY,22103,250,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,108,46068.450000000004,NA,NA,NA
SAINT THOMAS,78030,NA,750,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,77,12,NA,NA,NA
SAINTE GENEVIEVE,29186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,NA,NA,NA
SAIPAN,69110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,NA,NA,NA
SALEM,34033,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,7926.77,245,NA,NA
SALEM,51775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,2579.98,NA,NA,NA
SALINAS,72123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323.21,NA,NA,NA
SALINE,05125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.4,181,8463.33,NA,NA,NA
SALINE,17165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1548.4299999999998,NA,NA,NA
SALINE,20169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546,7640.0199999999995,NA,NA,NA
SALINE,29195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.5,NA,NA,NA
SALINE,31151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.75,NA,NA,NA
SALT LAKE,49035,1000,7950,1350,NA,1524.98,NA,3233.02,500,760.85,3325,NA,1630,10357.18,82502.47,3550,8056.19,1113
SALUDA,45081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600.75,NA,NA,NA
SAMPSON,37163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914.83,NA,NA,NA
SAN AUGUSTINE,48405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699.9,NA,NA,NA
SAN BENITO,06069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995,4782.75,NA,NA,NA
SAN BERNARDINO,06071,1040,150,NA,NA,475,NA,13752.87,NA,NA,225,NA,2242.35,14258.02,208110.88,375.49,NA,45
SAN DIEGO,06073,13548,20068,18150,NA,7824.92,5200,48635.520000000004,5350,3817.15,7350,NA,23034.65,47875.06,551239.96,14325.3,11580.76,5384.07
SAN FRANCISCO,06075,140119.33,114483.11,11446.74,72200,9857.97,57300,866216.9,26075,9450,137470.19,NA,60930.71,79320.96,72120.33,65800.73,11744.06,55816.03
SAN JACINTO,48407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.75,NA,NA,NA
SAN JOAQUIN,06077,NA,750,NA,NA,300,NA,7022,NA,NA,220,NA,NA,6110.1,69400.01,470,NA,NA
SAN JUAN,35045,200,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,10574.16,NA,NA,NA
SAN JUAN,49037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.25,NA,NA,NA
SAN JUAN,53055,NA,2950,NA,NA,NA,NA,485.09,NA,9350,250,NA,2800,1624,5629.19,1098,525,NA
SAN JUAN,72127,10900,1500,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,163,8199.52,NA,1000,NA
SAN LUIS OBISPO,06079,NA,4050,559.9,NA,NA,NA,10747.51,NA,225,250,NA,1250,4734.9,69972.83,1715,1999.29,1390
SAN MATEO,06081,126798.25,40675,25610,4220.7,22890.98,82650,227343.16999999998,17916.9,14850,35662.45,NA,37240.19,24481.41,109192.93,22075.329999999998,3965,29426.12
SAN MIGUEL,08113,NA,7900,NA,NA,NA,NA,NA,NA,11200,NA,NA,3000,250,4440.25,NA,NA,NA
SAN MIGUEL,35047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,128,NA,NA,3
SAN PATRICIO,48409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.4,NA,4633.34,NA,NA,NA
SAN SABA,48411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2450.5,NA,NA,NA
SANDERS,30089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA
SANDOVAL,35043,NA,NA,NA,NA,NA,NA,1549.63,NA,2800,NA,NA,765,NA,17739.28,957.38,NA,1
SANDUSKY,39143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2839.75,NA,NA,NA
SANGAMON,17167,NA,100,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,2864.4,23152.24,550,NA,NA
SANILAC,26151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4060.21,NA,NA,NA
SANPETE,49039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236.75,NA,NA,NA
SANTA BARBARA,06083,2550,7225,NA,NA,500,400,23309.579999999998,5000,3550,2100,NA,8490,11037.13,56802,7320.41,9525,232
SANTA CLARA,06085,105405.22,27685,15603.33,NA,44320.2,64956,160505.91,500,17925,31285.71,NA,28056.28,78143.82,236335.75,48966.68,4012.79,33849.21
SANTA CRUZ,04023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,4927.66,NA,NA,NA
SANTA CRUZ,06087,3950,5650,284.57,NA,1974.96,525,10803.44,5600,1000,500,NA,3697.39,25214.64,35111.39,13538.66,750,6121
SANTA FE,35049,1204.31,9550,150,NA,450,NA,13886.52,3050,250,5050,NA,8154.14,3043,15560.97,3308.38,2150,27
SANTA ROSA,12113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.8,326.86,17638.67,NA,NA,NA
SARASOTA,12115,8874,9225,NA,500,750,NA,11155.83,NA,725,7450,NA,1315,2439.14,136938.7,3585,525,NA
SARATOGA,36091,NA,275,NA,NA,250,6650,1250,2800,NA,800,NA,747.39,945.99,21822,503.85,NA,2878
SARPY,31153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,14398.16,NA,NA,NA
SAUK,55111,NA,250,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,2930.79,NA,NA,NA
SAUNDERS,31155,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,NA,1398.96,NA,NA,NA
SAWYER,55113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734.87,NA,NA,NA
SCHENECTADY,36093,NA,NA,NA,NA,NA,250,600,NA,NA,210,NA,265,600,8086.34,225,NA,2124.17
SCHLEICHER,48413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248.75,NA,NA,NA
SCHOHARIE,36095,NA,250,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,1010.7,NA,NA,250
SCHOOLCRAFT,26153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719.75,NA,NA,NA
SCHUYLER,17169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA
SCHUYLER,36097,NA,NA,NA,NA,NA,1250,NA,NA,NA,NA,NA,NA,124,794.53,250,NA,NA
SCHUYLKILL,42107,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.55,292,9842.36,NA,NA,NA
SCIOTO,39145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6283.12,NA,NA,NA
SCOTLAND,37165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866.5,NA,NA,NA
SCOTT,05127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA
SCOTT,17171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,NA,NA
SCOTT,18143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1673.5,NA,NA,NA
SCOTT,19163,250,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,1101,9703.67,250,NA,1
SCOTT,20171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA
SCOTT,21209,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4455.56,NA,NA,NA
SCOTT,27139,NA,NA,NA,NA,NA,NA,222.42,NA,NA,500,NA,NA,1600,10902.029999999999,NA,NA,NA
SCOTT,28123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,NA,NA,NA
SCOTT,29201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2046.5,NA,NA,NA
SCOTT,47151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2910,NA,NA,NA
SCOTT,51169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,NA,NA,NA
SCOTTS BLUFF,31157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2553.39,NA,NA,10
SCREVEN,13251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA
SCURRY,48415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.1800000000001,12505.45,NA,NA,NA
SEARCY,05129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1659.14,NA,NA,NA
SEBASTIAN,05131,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,193,15768.33,NA,NA,NA
SEDGWICK,08115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517.25,NA,NA,NA
SEDGWICK,20173,250,100,NA,NA,NA,NA,430,NA,NA,250,NA,NA,2225,42510.54,350,NA,1
SEMINOLE,12117,NA,2250,NA,NA,NA,210,2800,NA,NA,NA,NA,751.99,2550.12,85184.81999999999,NA,255,202.92
SEMINOLE,13253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.25,NA,NA,NA
SEMINOLE,40133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178.25,NA,NA,NA
SENECA,36099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,1319.1399999999999,NA,NA,NA
SENECA,39147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,2058.8599999999997,NA,NA,NA
SEQUATCHIE,47153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3385.19,NA,NA,NA
SEQUOYAH,40135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8727.24,NA,NA,NA
SEVIER,05133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2990.09,NA,NA,NA
SEVIER,47155,NA,NA,NA,NA,NA,NA,429.11,NA,NA,NA,NA,NA,519,16654.27,225,250,NA
SEVIER,49041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600,1450.25,NA,NA,NA
SEWARD,20175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.25,NA,NA,NA
SEWARD,31159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.62,NA,NA,NA
SHACKELFORD,48417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350.5,NA,NA,NA
SHANNON,29203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.25,NA,NA,NA
SHARKEY,28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.75,NA,NA,NA
SHARP,05135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643.4,NA,NA,NA
SHASTA,06089,NA,NA,NA,NA,NA,NA,2800,NA,NA,250,NA,NA,1228,28862.94,NA,NA,7
SHAWANO,55115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1428.72,NA,NA,50
SHAWNEE,20177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,17090.8,530,NA,NA
SHEBOYGAN,55117,800,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,350,5286.41,NA,NA,NA
SHELBY,01117,NA,NA,NA,NA,NA,NA,817.8399999999999,NA,NA,NA,NA,250,193.75,40232.23,NA,500,20
SHELBY,17173,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1317.72,NA,NA,NA
SHELBY,18145,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786.4,NA,NA,NA
SHELBY,19165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839.25,NA,NA,NA
SHELBY,21211,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,4763.87,NA,NA,NA
SHELBY,29205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,NA,NA
SHELBY,39149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,5620.36,NA,NA,NA
SHELBY,47157,4700,1250,NA,NA,2000,NA,11850,250,NA,1152.54,NA,1602.8,614,91079.56999999999,1375,NA,252
SHELBY,48419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3267.5,NA,NA,NA
